start_node,relation,end_node
POI/663155,PLA,Area/47
POI/669727,PLA,Area/94
POI/418849,PLA,Area/211
POI/245,PLA,Area/224
POI/246,PLA,Area/224
POI/358,PLA,Area/233
POI/405,PLA,Area/45
POI/407,PLA,Area/45
POI/408,PLA,Area/209
POI/442,PLA,Area/13
POI/447,PLA,Area/166
POI/475,PLA,Area/233
POI/495,PLA,Area/224
POI/496,PLA,Area/224
POI/497,PLA,Area/224
POI/498,PLA,Area/224
POI/499,PLA,Area/224
POI/507,PLA,Area/161
POI/521,PLA,Area/142
POI/526,PLA,Area/170
POI/533,PLA,Area/33
POI/612,PLA,Area/48
POI/613,PLA,Area/164
POI/619,PLA,Area/164
POI/620,PLA,Area/164
POI/625,PLA,Area/48
POI/626,PLA,Area/48
POI/629,PLA,Area/50
POI/636,PLA,Area/113
POI/659,PLA,Area/142
POI/663,PLA,Area/230
POI/673,PLA,Area/230
POI/674,PLA,Area/230
POI/681,PLA,Area/246
POI/687,PLA,Area/161
POI/850,PLA,Area/150
POI/956,PLA,Area/238
POI/1212,PLA,Area/55
POI/1242,PLA,Area/55
POI/1307,PLA,Area/123
POI/1334,PLA,Area/55
POI/1342,PLA,Area/210
POI/1347,PLA,Area/55
POI/1473,PLA,Area/256
POI/2701,PLA,Area/256
POI/2702,PLA,Area/256
POI/4539,PLA,Area/89
POI/4565,PLA,Area/89
POI/4567,PLA,Area/89
POI/4574,PLA,Area/89
POI/4592,PLA,Area/89
POI/6737,PLA,Area/22
POI/6779,PLA,Area/22
POI/6855,PLA,Area/22
POI/6857,PLA,Area/22
POI/6877,PLA,Area/22
POI/6885,PLA,Area/22
POI/6930,PLA,Area/22
POI/6932,PLA,Area/22
POI/6936,PLA,Area/22
POI/6961,PLA,Area/22
POI/6967,PLA,Area/22
POI/6973,PLA,Area/22
POI/6992,PLA,Area/22
POI/7011,PLA,Area/22
POI/7090,PLA,Area/22
POI/7097,PLA,Area/22
POI/7099,PLA,Area/22
POI/7125,PLA,Area/22
POI/7160,PLA,Area/22
POI/7164,PLA,Area/22
POI/7173,PLA,Area/22
POI/7209,PLA,Area/22
POI/8433,PLA,Area/79
POI/8435,PLA,Area/79
POI/8438,PLA,Area/79
POI/8439,PLA,Area/79
POI/8441,PLA,Area/79
POI/8443,PLA,Area/79
POI/8445,PLA,Area/79
POI/8446,PLA,Area/79
POI/8448,PLA,Area/79
POI/8450,PLA,Area/79
POI/8451,PLA,Area/89
POI/8452,PLA,Area/79
POI/8454,PLA,Area/79
POI/8455,PLA,Area/79
POI/8457,PLA,Area/79
POI/8459,PLA,Area/79
POI/8460,PLA,Area/79
POI/8462,PLA,Area/79
POI/8464,PLA,Area/79
POI/8466,PLA,Area/79
POI/8468,PLA,Area/79
POI/8470,PLA,Area/79
POI/8471,PLA,Area/79
POI/8473,PLA,Area/79
POI/8475,PLA,Area/79
POI/8476,PLA,Area/79
POI/8478,PLA,Area/79
POI/8480,PLA,Area/79
POI/8481,PLA,Area/89
POI/8482,PLA,Area/79
POI/8483,PLA,Area/79
POI/8485,PLA,Area/79
POI/8487,PLA,Area/79
POI/8489,PLA,Area/79
POI/8491,PLA,Area/79
POI/8492,PLA,Area/79
POI/8493,PLA,Area/79
POI/8495,PLA,Area/79
POI/8497,PLA,Area/89
POI/8498,PLA,Area/79
POI/8499,PLA,Area/89
POI/8500,PLA,Area/79
POI/8501,PLA,Area/79
POI/8502,PLA,Area/89
POI/8503,PLA,Area/79
POI/8504,PLA,Area/89
POI/8505,PLA,Area/79
POI/8507,PLA,Area/79
POI/8508,PLA,Area/89
POI/8509,PLA,Area/79
POI/8510,PLA,Area/79
POI/8511,PLA,Area/79
POI/8513,PLA,Area/79
POI/8515,PLA,Area/79
POI/8516,PLA,Area/89
POI/8517,PLA,Area/79
POI/8518,PLA,Area/79
POI/8520,PLA,Area/79
POI/8522,PLA,Area/79
POI/8526,PLA,Area/79
POI/8528,PLA,Area/89
POI/8529,PLA,Area/79
POI/8531,PLA,Area/79
POI/8533,PLA,Area/79
POI/8535,PLA,Area/89
POI/8536,PLA,Area/79
POI/8537,PLA,Area/89
POI/8538,PLA,Area/79
POI/8539,PLA,Area/89
POI/8540,PLA,Area/79
POI/8541,PLA,Area/89
POI/8542,PLA,Area/79
POI/8544,PLA,Area/79
POI/8546,PLA,Area/79
POI/8547,PLA,Area/79
POI/8549,PLA,Area/79
POI/8551,PLA,Area/79
POI/8553,PLA,Area/79
POI/8554,PLA,Area/79
POI/8555,PLA,Area/79
POI/8557,PLA,Area/79
POI/8558,PLA,Area/89
POI/8559,PLA,Area/79
POI/8561,PLA,Area/79
POI/8563,PLA,Area/79
POI/8566,PLA,Area/79
POI/8567,PLA,Area/89
POI/8568,PLA,Area/79
POI/8570,PLA,Area/79
POI/8572,PLA,Area/79
POI/8574,PLA,Area/79
POI/8575,PLA,Area/79
POI/8576,PLA,Area/79
POI/8579,PLA,Area/79
POI/8581,PLA,Area/79
POI/8585,PLA,Area/79
POI/8587,PLA,Area/79
POI/8589,PLA,Area/79
POI/8590,PLA,Area/79
POI/8592,PLA,Area/79
POI/8593,PLA,Area/89
POI/8594,PLA,Area/79
POI/8595,PLA,Area/79
POI/8597,PLA,Area/79
POI/8598,PLA,Area/79
POI/8599,PLA,Area/79
POI/8600,PLA,Area/79
POI/8601,PLA,Area/79
POI/8604,PLA,Area/79
POI/8605,PLA,Area/79
POI/8606,PLA,Area/79
POI/8607,PLA,Area/79
POI/8608,PLA,Area/79
POI/8610,PLA,Area/79
POI/8611,PLA,Area/79
POI/8620,PLA,Area/33
POI/8640,PLA,Area/33
POI/8646,PLA,Area/33
POI/8685,PLA,Area/33
POI/8688,PLA,Area/33
POI/8702,PLA,Area/33
POI/8711,PLA,Area/33
POI/8732,PLA,Area/33
POI/8782,PLA,Area/33
POI/8786,PLA,Area/33
POI/8819,PLA,Area/33
POI/8829,PLA,Area/33
POI/8839,PLA,Area/33
POI/8898,PLA,Area/33
POI/8928,PLA,Area/33
POI/8932,PLA,Area/33
POI/8934,PLA,Area/33
POI/8936,PLA,Area/33
POI/8952,PLA,Area/33
POI/8954,PLA,Area/33
POI/8956,PLA,Area/33
POI/8959,PLA,Area/33
POI/9012,PLA,Area/33
POI/9025,PLA,Area/33
POI/9044,PLA,Area/33
POI/9047,PLA,Area/33
POI/9308,PLA,Area/49
POI/9343,PLA,Area/33
POI/9371,PLA,Area/33
POI/9375,PLA,Area/33
POI/9428,PLA,Area/33
POI/9438,PLA,Area/89
POI/9439,PLA,Area/89
POI/9440,PLA,Area/89
POI/9441,PLA,Area/89
POI/9442,PLA,Area/89
POI/9443,PLA,Area/89
POI/9444,PLA,Area/89
POI/9445,PLA,Area/89
POI/9446,PLA,Area/89
POI/9447,PLA,Area/89
